Name,Role
Bernard Hill,Actor
Ben Kingsley,Actor
Ian McKellen,Actor
John Mahoney,Actor
Mark Ashworth,Actor
Judy Loe,Actress
Simon Kerrison,Actor
Christopher Eccleston,Actor
Benedict Wong,Actor
Joanne Whalley,Actress
Albert Finney,Actor
David Threlfall,Actor
Afshan Azad,Actress
David Schofield,Actor
Ian McShane,Actor
Pete Postlethwaite,Actor
Malcolm Tierney,Actor
John Bradley,Actor
David Warner,Actor
Steve Coogan,Actor
John Thaw,Actor
Burt Kwouk,Actor
Davy Jones,Actor
Robert Donat,Actor
John Henshaw,Actor
Peter Howitt,Actor
Philip Bulcock,Actor
Leah Hackett,Actress
Simon Longmore,Actor
Marcquelle Ward,Actor
Michael Keogh,Producer
Sean Cernow,Actor
Greg Kelly,Actor
Steve Murphy,Actor
Adamo Palladino,Actor
Alex Etel,Actor
Andrew Knott,Actor
Barbara Kellerman,Actress
Ben Crompton,Actor
Caroline Carver,Actress
Chris Addison,Actor
Christian Coulson,Actor
David Bamber,Actor
Don Knight,Actor
Elisabeth Shahlavi,Actress
Ellie Paskell,Actress
Emily Beecham,Actress
Gemma Atkinson,Actress
Helen Flanagan,Actress
Holliday Grainger,Actress
James Murray,Actor
Jamie Lomas,Actor
Judith Shekoni,Actress
Karl Davies,Actor
Lauren Drummond,
Laurie Paul Calvert,Actor
Lee Boardman,Actor
Lesley Nicol,Actress
Linus Roache,Actor
Linzey Cocker,Actress
Lorraine Ashbourne,Actress
Lyndsey Marshal,Actress
Marsha Thomason,Actress
Matthew McNulty,Actor
Nicholas Hope,Actor
Nico Mirallegro,Actor
Olivia Cooke,Actress
Paul Ronan,Actor
Philip Martin Brown,Actor
Raoul Bhaneja,Actor
Ian Kelly,Actor
Matthew Kelly,Actor
Ronald Fraser,Actor
Victoria Wood,Actress
Marlene Mc'Cohen,Actress
Agyness Deyn,Actress
Stephen Lord,Actor
Lesley Sharp,Actress
Harry H. Corbett,Actor
Suranne Jones,Actress
John Thomson,Actor
Jonathon Morris,Actor
Sally Lindsay,Actress
Mike Walling,Writer
Gwyneth Powell,Actress
Alan Badel,Actor
Beryl Reid,Actress
Doris Speed,Actress
Brenda de Banzie,Actress
Caroline Aherne,Actress
Paula Wilcox,Actress
Jack Smethurst,Actor
Max Beesley,Actor
Alan Erasmus,Actor
Don Estelle,Actor
Kenneth Colley,Actor
Leonard Mudie,Actor
Warren Clarke,Actor
Samia Longchambon,Actress
Avis Bunnage,Actress
Jack Wild,Actor
Vicky Ogden,Actress
Stephanie Waring,Actress
Eileen Derbyshire,Actress
Lynda Baron,Actress
Faye Brookes,Actress
Brenda Bruce,Actress
Sam Kelly,Actor
Matt Czuchry,Actor
Shaun Toub,Actor
Claire Foy,Actress
George Costigan,Actor
Sophie Skelton,Actress
Bruce Jones,Actor
Kenneth MacDonald,Actor
James Quinn,Actor
Danielle Hope,Actress
Sarah Silverman,Actress
Barbara Knox,Actress
Sally Dynevor,Actress
Simon Gregson,Actor
Anne Kirkbride,Actress
Michael Le Vell,Actor
Jane Danson,Actress
Alan Halsall,Actor
William Tarmey,Actor
Patricia Phoenix,Actress
Kevin Kennedy,Actor
Michelle Keegan,Actress
Marcus Garvey,Actor
Eliot Salt,Actress
